,Column Labels,,,,,,,,,,,
,Count of Country,,,,,Average of Salary,,,,,Total Count of Country,Total Average of Salary
Row Labels,Asian,Black,Other,White,(blank),Asian,Black,Other,White,(blank),,
Australia,476,,,860,,114408.0168,,,115199.3105,,1336,114917.3825
Canada,455,437,,436,,115159.8593,118601.2128,,115961.2125,,1328,116556.7328
China,901,,,442,,114162.5361,,,120570.1584,,1343,116271.3738
United Kingdom,336,,334,667,,118621.1786,,116330.8593,114389.6351,,1337,115939.1617
United States of America,336,354,322,348,,113442.1071,112209.6582,110410.1398,115763.7925,,1360,112995.4879
(blank),,,,,,,,,,,,
Grand Total,2504,791,656,2753,,114892.0371,115740.7699,113424.6524,116058.2806,,6704,115326.9648
