,Age,Gender,Education_Level,Job_Title,Years_of_Experience,Salary,Country,Race,Continent,Experience_Range,Race_Category,Latitude,Longitude
0,32,Male,Bachelor's,Software Engineer,5,90000,UK,White,Europe,45174,White,55.378051,-3.435973
1,28,Female,Master's,Data Analyst,3,65000,USA,Hispanic,America,45174,Other,37.09024,-95.712891
2,45,Male,PhD,Senior Manager,15,150000,Canada,White,America,15-19,White,56.130366,106.346771
3,36,Female,Bachelor's,Sales Associate,7,60000,USA,Hispanic,America,45174,Other,37.09024,-95.712891
4,52,Male,Master's,Director,20,200000,USA,Asian,America,20-24,Asian,37.09024,-95.712891
5,29,Male,Bachelor's,Marketing Analyst,2,55000,USA,Hispanic,America,0-4,Other,37.09024,-95.712891
6,42,Female,Master's,Product Manager,12,120000,USA,Asian,America,41913,Asian,37.09024,-95.712891
7,31,Male,Bachelor's,Sales Manager,4,80000,China,Korean,Asia,45174,Asian,35.86166,"104.195397	"
8,26,Female,Bachelor's,Marketing Coordinator,1,45000,China,Chinese,Asia,0-4,Asian,35.86166,"104.195397	"
9,38,Male,PhD,Senior Scientist,10,110000,Australia,Australian,Oceania,41913,White,25.274398,133.775136
10,29,Male,Master's,Software Developer,3,75000,UK,Welsh,Europe,45174,White,55.378051,-3.435973
11,48,Female,Bachelor's,HR Manager,18,140000,UK,Asian,Europe,20-24,Asian,55.378051,-3.435973
12,35,Male,Bachelor's,Financial Analyst,6,65000,China,Korean,Asia,45174,Asian,35.86166,"104.195397	"
13,40,Female,Master's,Project Manager,14,130000,USA,African American,America,15-19,Black,37.09024,-95.712891
14,27,Male,Bachelor's,Customer Service Rep,2,40000,Canada,Asian,America,0-4,Asian,56.130366,106.346771
15,44,Male,Bachelor's,Operations Manager,16,125000,China,Chinese,Asia,15-19,Asian,35.86166,"104.195397	"
16,33,Female,Master's,Marketing Manager,7,90000,USA,Asian,America,45174,Asian,37.09024,-95.712891
17,39,Male,PhD,Senior Engineer,12,115000,UK,Mixed,Europe,41913,Other,55.378051,-3.435973
18,25,Female,Bachelor's,Data Entry Clerk,0,35000,UK,Asian,Europe,0-4,Asian,55.378051,-3.435973
19,51,Male,Bachelor's,Sales Director,22,180000,Australia,Asian,Oceania,20-24,Asian,25.274398,133.775136
20,34,Female,Master's,Business Analyst,5,80000,China,Korean,Asia,45174,Asian,35.86166,"104.195397	"
21,47,Male,Master's,VP of Operations,19,190000,UK,White,Europe,20-24,White,55.378051,-3.435973
22,30,Male,Bachelor's,IT Support,2,50000,UK,Asian,Europe,0-4,Asian,55.378051,-3.435973
